fbd4d02d-a1cc-4274-b186-4e6b08942080|5b20dcea-511a-4f12-8e3d-1210f30f9cc3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
fbd4d02d-a1cc-4274-b186-4e6b08942080|c185e813-eefc-4be0-a156-aaa6f326f004|20|0|0|2|0|2|0|3|2|1|1|1|0|1|2|2|0|0|2
fbd4d02d-a1cc-4274-b186-4e6b08942080|3c6ae80c-8d2a-442e-a18a-bcbc39fe40da|17|0|0|2|1|2|1|2|2|1|0|0|2|0|0|2|0|0|4
fbd4d02d-a1cc-4274-b186-4e6b08942080|c90c543f-1c4c-4d76-afd3-feda9ea83c3c|24|3|1|7|5|10|6|6|6|1|8|0|3|1|0|0|0|0|19
fbd4d02d-a1cc-4274-b186-4e6b08942080|be75d64b-b599-4db6-805e-ce43027ec598|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
fbd4d02d-a1cc-4274-b186-4e6b08942080|f3fdd051-e6e3-49ef-8bc6-d558cd1c6b27|19|4|1|2|0|6|1|0|0|0|2|1|1|0|0|1|0|0|3
fbd4d02d-a1cc-4274-b186-4e6b08942080|cb0dbdc0-1036-4118-88e5-ce3351b5ecac|22|1|0|3|0|4|0|2|2|1|4|3|1|4|0|3|0|0|2
fbd4d02d-a1cc-4274-b186-4e6b08942080|07375b0d-b12f-49e5-a0fd-602740bd223d|8|1|0|1|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0
fbd4d02d-a1cc-4274-b186-4e6b08942080|327eec9a-9e85-4d63-be5a-759e8566c90f|26|0|0|4|1|4|1|2|2|0|5|1|1|0|0|0|0|0|4
fbd4d02d-a1cc-4274-b186-4e6b08942080|09417ee3-50b7-48d1-abc8-3a4651c1f00a|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
fbd4d02d-a1cc-4274-b186-4e6b08942080|9f4c000d-5e97-437d-972b-3afaf150bb11|34|0|0|15|10|15|10|11|8|4|4|1|3|1|1|2|0|0|28
fbd4d02d-a1cc-4274-b186-4e6b08942080|3025489f-78e7-41a2-93aa-5670119c8808|27|1|0|8|5|9|5|6|5|0|0|4|2|2|1|2|0|0|15
fbd4d02d-a1cc-4274-b186-4e6b08942080|6794afe5-7d7c-4ba5-a10f-f5399e525841|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
