23ab86a8-52a4-46ce-82df-cfc201520643|United Spirit Arena|1701 Indiana Ave|Lubbock|TX|USA|79409|15020
198a412e-f8cd-4a32-bf09-c45831f6c1d2|Allen Fieldhouse|1651 Naismith Drive|Lawrence|KS|USA|66045|16300
b30181e3-c980-4668-9c13-5f5ef88aa819|Jack Stephens Center|2801 South University|Little Rock|AR|USA|72204|5600
d6e5d172-c88f-411d-b421-4b59b9507e44|Mitchell Center|2195 Mitchell Center Drive|Mobile|AL|USA|36608|10041
5f3d2fe1-06a6-453a-a4cb-78b00809cb38|Fant-Ewing Coliseum|4319 Northeast Drive|Monroe|LA|USA|71203|7085
31cccc6f-84fb-4f1c-ab2d-f6db7f5fc955|Strahan Coliseum|601 University Drive|San Marcos|TX|USA|78666|7200
ad56c582-5504-41b6-b7be-fe26d4ceddbf|Trojan Arena|5000 Veterans Stadium Dr.|Troy|AL|USA|36082|6000
704c2bf5-b61f-44c9-abee-71e6d0cae512|Cajundome|444 Cajundome Blvd|Lafayette|LA|USA|70506|12068
69391650-8df7-49f0-8128-217a57679085|College Park Center|601 S Pecan St|Arlington|TX|USA|76019|7000
402880b9-2e4d-43e9-860a-791e54c8abda|E. A. Diddle Arena|1526 Avenue of Champions|Bowling Green|KY|USA|42101|7326
c1b8f2a0-57a8-4926-b771-ec50ed06ace2|GSU Sports Arena|10 Peachtree Center Ave NE|Atlanta|GA|USA|30303|4500
9240589b-3f2a-45cb-b592-e6e02f5557a6|Arkansas State University Convocation Center|217 Olympic Drive|Jonesboro|AR|USA|72401|10563
686ae21d-b81b-4998-be87-d1ef18392335|Fleisher Center|154 Summit St|Newark|NJ|USA|7102|1500
a9e8ae08-0f2d-45b5-9bee-ee0f8ed0d166|Rolle Activity Center|McConnell Drive|Flagstaff|AZ|USA|86001|11230
38a364ae-eb4c-4ace-a2e4-c28f3b1b11f5|Hornet Gym|6000 J Street|Sacramento|CA|USA|95819|1200
96d4a6bc-89bb-440f-8a06-1bfef83504c3|Dee Events Center|Harrison Blvd|Ogden|UT|USA|84408|11500
cff3a947-02b5-44f0-b8fe-c8b5b22b9f73|Reese Court|Washington Street|Cheney|WA|USA|99004|6000
8abe4058-b5c2-4ce0-9926-97ac88f6efcc|Holt Arena|550 Memorial Drive|Pocatello|ID|USA|83209|8000
e14bfb27-a6e5-4405-ad0f-9b742a61932c|Stott Center|930 SW Hall|Portland|OR|USA|97201|2000
410dd52e-6fd0-4da9-89a6-c9e434a35fe7|Butler-Hancock Sports Pavilion|1862 10th Ave|Greeley|CO|USA|80639|2992
3213f809-1a69-4d2e-8a39-66a5b4782c0d|Worthington Arena|1 Bobcat Circle|Bozeman|MT|USA|59717|7250
436b9f40-6358-4e89-aec7-02ce1c308402|Centrum Arena|351 University Blvd|Cedar City|UT|USA|84720|5300
a6bf0915-b261-444f-887f-e5fa7cc8599a|Betty Engelstad Sioux Center|One Ralph Engelstad Arena Drive|Grand Forks|ND|USA|58203|3300
6017493a-9b75-4a03-8e8a-1ebc69aeeb59|Dahlberg Arena|32 Campus Drive|Missoula|MT|USA|59803|7321
c76914a3-7d54-4d6e-be85-cd6ccc69da47|CFE Arena|12777 Gemini Blvd N|Orlando|FL|USA|32816|9465
7657c204-a20b-527a-99cb-dc29218462aa|FedEx Forum|191 Beale St|Memphis|TN|USA|38103|18119
fb41424a-7fe2-42da-b23f-baf91f94bb79|Hofheinz Pavilion|3875 Holman St|Houston|TX|USA|77004|8479
99e88586-1675-4898-b385-3b4e2ded569e|Moody Coliseum|6024 Airline Road|University Park|TX|USA|75205|8998
c73ec71f-c7d7-44e2-8742-33dca785ab2f|USF Sun Dome|Elm Drive|Tampa|FL|USA|33620|10411
c1d792b1-beb9-492a-a6af-a458c6de58e3|Liacouras Center|1776 N Broad St|Philadelphia|PA|USA|19121|10200
a8644cd5-3962-481b-8df9-e529e6361d6a|Fifth Third Arena|2700 O'Varsity Way|Cincinnati|OH|USA|45221|13176
dd352ce9-3282-4d7b-862f-f406eb61aca6|Louis Brown Athletic Center|83 Rockafeller Road|Piscataway|NJ|USA|8854|8000
b5f6d7ee-034b-4653-b6da-e0a01ed6f91a|KFC Yum! Center|1 Arena Plaza|Louisville|KY|USA|40202|22500
5754d0d6-6caf-4083-a1e4-267b2df97f60|XL Center|1 Civic Center Plaza|Hartford|CT|USA|6103|16294
32433265-e022-4be1-bcd5-5883fe3155e9|John M. Belk Arena|200 Baker Drive|Davidson|NC|USA|28036|5223
0424d202-97b4-4ae3-95ab-308fa98de534|McAlister Field House|171 Moultrie Street|Charleston|SC|USA|29409|6000
ec253396-69c1-484e-9eaa-29ab0a76beb7|McKenzie Arena|720 East 4th Street|Chattanooga|TN|USA|37403|10928
695d3bc9-f1db-4a96-9050-5a90073bbca0|Greensboro Coliseum Complex|1921 West Lee Street|Greensboro|NC|USA|27403|23500
2a2ec581-1903-41af-bccf-ffddea79e29f|W.S. Hanner Fieldhouse|590 Herty Dr|Statesboro|GA|USA|30458|4358
16debea1-2198-4fa9-a1f0-48aa281b86d4|Ramsey Center|92 Catamount Rd|Cullowhee|NC|USA|28723|7826
82a34455-da70-4528-8631-d1c4555d77c2|George M. Holmes Convocation Center|111 Rivers Street|Boone|NC|USA|28608|8325
966b6f31-1a6e-41df-a295-054c20073fce|Alumni Gym|Phoenix Dr|Elon|NC|USA|27244|1585
7a660cd8-ae86-4a54-8e8b-1bd27f2dd6bb|Benjamin Johnson Arena|429 North Church St|Spartanburg|SC|USA|29303|3500
d6172d08-407e-4028-a769-4843518a1414|Pete Hanna Center|800 Lakeshore Drive|Birmingham|AL|USA|35229|5000
d8e571a8-3eac-41a7-bbc3-bdf08c40d156|Timmons Arena|3300 Poinsett Highway|Greenville|SC|USA|29613|3500
45657556-c982-480a-a8fd-2e76e7982f74|Allen County War Memorial Coliseum|4000 Parnell Avenue|Fort Wayne|IN|USA|46805|13000
6db7bae2-879f-40e5-942b-c8b5fdd27db2|Ralston Sports and Event Center|72nd and Q Streets|Ralston|NE|USA|68127|3500
982c554c-7900-48f0-b75d-a4888280ac16|Frost Arena|11th St &amp; 16th Ave|Brookings|SD|USA|57006|6500
294938ed-ed6c-4f67-a121-720420ffd76a|Magness Arena|2201 East Ashbury Ave|Denver|CO|USA|80208|7200
7d0a3052-8261-4bfe-bcb8-62af267db35b|IUPUI Gymnasium|901 W New York Street|Indianapolis|IN|USA|46202|1215
e342ae66-5a25-4085-883b-2850da784221|Bison Sports Arena|1300 17th Ave N|Fargo|ND|USA|58102|6000
6cb58d87-94f0-4093-bc52-baa0fbe8e02a|DakotaDome|414 E Clark Street|Vermillion|SD|USA|57069|10000
839a82a3-9aec-4cb8-9f26-d4c19b61e7a3|Western Hall|1 University Circle|Macomb|IL|USA|61455|5139
ee28a38d-1d9e-41db-8fbd-d1fa52e8a296|Walter Pyramid|1250 Bellflower Blvd|Long Beach|CA|USA|90840|5000
a80809ab-eb56-44fb-857a-2598b43c4c5a|Bren Events Center|100 Bren Event Center Dr|Irvine|CA|USA|92612|4984
c13d8ed7-809f-43bf-8cfc-606185bc46da|UC Santa Barbara Events Center|552 University Rd|Santa Barbara|CA|USA|93106|5600
2a3ef518-358e-492b-bd62-aefe6ffeeaec|Mott Gymnasium|South Perimeter Road|San Luis Obispo|CA|USA|93407|3032
46b89cee-b775-4c80-81b8-5628effbe2b3|UC Riverside Student Recreation Center|900 University Ave|Riverside|CA|USA|92507|3168
ffd3dede-744e-46a1-b4c7-e5ac40aa9eb1|The Pavilion|232 ARC, 1 Shields Ave|Davis|CA|USA|95616|7600
59a06e26-eb99-4f10-b1cc-0f5518f031e6|Titan Gym|800 North State College Blvd|Fullerton|CA|USA|92834|4000
71d77907-2374-4969-9d8c-fc7100d47c28|Matador Gymnasium|18111 Nordhoff Street|Northridge|CA|USA|91330|1600
2e713b00-8015-42c7-813b-643f41b0d384|Stan Sheriff Center|1355 Lower Campus Dr|Honolulu|HI|USA|96822|10300
2b451e94-5eee-4fc7-959a-4ef7e5dac561|Don Haskins Center|500 W University Ave|El Paso|TX|USA|79968|12222
3e7d76a6-5c53-463a-82fd-a35e6395c2bd|The Super Pit|801 North Texas Blvd|Denton|TX|USA|76201|10032
064ff4b5-c041-4221-9f7b-b23b740d57f7|Reynolds Center|800 S Tucker Dr|Tulsa|OK|USA|74104|8355
6653af89-47ba-4421-8dbb-154f04c3b25e|Devlin Fieldhouse|McAlister Place at Freret St|New Orleans|LA|USA|70118|3600
12d526ed-1fbf-4caf-bdf4-f4fceeb95d31|Murphy Center|Middle Tennessee Blvd|Murfreesboro|TN|USA|37132|11520
a9ed84bc-3680-4247-b4ca-01cd01cd847c|Cam Henderson Center|1 John Marshall Dr|Huntington|WV|USA|25755|9048
cbd9a89f-577a-46b7-99e0-b2cb310533e5|Reed Green Coliseum|112 Coliseum Dr|Hattiesburg|MS|USA|39406|8095
b5a34ed8-2c69-431d-9e6e-9b515e28a9ba|Bartow Arena|617 13th St S|Birmingham|AL|USA|35233|8508
70570fc0-9b6f-41e8-9ad1-2c6cb70af493|Dale F. Halton Arena|9201 University City Boulevard|Charlotte|NC|USA|28223|9105
1ab1ee39-1e10-410b-b7fd-2f93c1d86216|Thomas Assembly Center|1650 West Alabama Ave|Ruston|LA|USA|71272|8098
40f79a47-0962-487c-90ea-96b57df86fa6|UTSA Convocation Center|One UTSA Circle|San Antonio|TX|USA|78249|4080
